slug,rank
kusama,1.0
ultra,2.0
helium,3.0
theta-token,4.0
binancecoin,5.0
thorchain,6.0
okb,7.0
metadium,8.0
cardano,9.0
klay-token,10.0
gemini-dollar,11.0
melon,12.0
reserve-rights-token,13.0
origintrail,14.0
unibright,15.0
true-usd,16.0
harmony,17.0
quant-network,18.0
uquid-coin,19.0
solana,20.0
bittorrent-2,21.0
bitcoin-gold,22.0
medibloc,23.0
wink,24.0
dero,25.0
kardiachain,26.0
gnosis,27.0
livepeer,28.0
filecoin,29.0
celsius-degree-token,30.0
bitcoin,31.0
hedera-hashgraph,32.0
sushi,33.0
ergo,34.0
wrapped-nxm,35.0
math,36.0
golem,37.0
velas,38.0
vethor-token,39.0
ethereum,40.0
uma,41.0
civic,42.0
xdce-crowd-sale,43.0
ecomi,44.0
btse-token,45.0
crypto-com-chain,46.0
chiliz,47.0
dent,48.0
vechain,49.0
pirate-chain,50.0
constellation-labs,51.0
tomochain,52.0
render-token,53.0
matic-network,54.0
cartesi,55.0
blockstack,56.0
verasity,57.0
havven,58.0
ark,59.0
hive,60.0
yearn-finance,61.0
trust-wallet-token,62.0
iotex,63.0
ocean-protocol,64.0
republic-protocol,65.0
ftx-token,66.0
theta-fuel,67.0
numeraire,68.0
streamr-datacoin,69.0
noia-network,70.0
nexo,71.0
cream-2,72.0
nkn,73.0
monacoin,74.0
ethereum-classic,75.0
zencash,76.0
funfair,77.0
hxro,78.0
algorand,79.0
omisego,80.0
waves,81.0
pax-gold,82.0
augur,83.0
binance-usd,84.0
swissborg,85.0
status,86.0
fetch-ai,87.0
elrond-erd-2,88.0
ankr,89.0
seth,90.0
fantom,91.0
bancor,92.0
polkadot,93.0
iexec-rlc,94.0
compound-usd-coin,95.0
loopring,96.0
dash,97.0
verge,98.0
bitcoin-diamond,99.0
ethos,100.0
